cell_id,predictor,risk_policy,target_style,ego_init_id,completion_time_s,completion_valid,min_footprint_separation_m,min_center_distance_m,footprint_collision,yield_order_valid,clearance_s,feasibility_fraction,solver_failure_fraction,average_solve_time_s,max_lateral_acceleration_mps2,avg_longitudinal_jerk_mps3,avg_lateral_jerk_mps3,supervisor_active_fraction,hard_stop_override_fraction,risk_tightening_mean,adaptive_risk_solver_fraction,reactive_active_samples,invalid_probabilities,invalid_covariances
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,46,10.000000149011612,1.0,1.0154659300059423,4.53270593477413,0.0,1.0,1.1500000171363354,0.9950248756218906,0.004975124378109453,0.061503809445,4.527778996756326,5.251395012786084,3.89701471412429,0.13930348258706468,0.13930348258706468,1.2815515655445986,0.0,0,0,0
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,47,9.200000137090683,1.0,1.0208270406220952,4.477199697110633,0.0,1.0,1.1000000163912773,1.0,0.0,0.05490159103243244,4.87836852376711,5.405655290876881,6.251157652559487,0.12972972972972974,0.12972972972972974,1.2815515655445995,0.0,0,0,0
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,48,10.30000015348196,1.0,1.1204221509009578,4.601076894705581,0.0,1.0,1.5000000223517418,0.9951690821256038,0.004830917874396135,0.05978149369417476,5.196398753824042,6.4631994484200375,2.974975129169959,0.15942028985507245,0.15942028985507245,1.2815515655445984,0.0,0,0,0
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,49,10.150000151246786,1.0,1.3262333582491488,4.788283749259765,0.0,1.0,1.3000000193715096,0.9950980392156863,0.004901960784313725,0.05808612592610837,6.05466146907325,5.729864109121837,3.797863585672377,0.13725490196078433,0.13725490196078433,1.2815515655445984,0.0,0,0,0
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,50,11.10000016540289,1.0,1.7834586952184013,5.117786625286951,0.0,1.0,1.3500000201165676,0.9955156950672646,0.004484304932735426,0.057449266436936944,5.403529898275704,5.265069288579921,4.340818192991827,0.13004484304932734,0.13004484304932734,1.2815515655445977,0.0,0,0,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,46,11.85000017657876,1.0,0.8452602808700442,4.335714744869842,0.0,1.0,1.4500000216066837,0.9957983193277311,0.004201680672268907,0.05499876092827006,4.366718018717699,5.510894673576633,3.1847910858991235,0.1638655462184874,0.1638655462184874,1.2815515655445977,0.0,15,0,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,47,9.200000137090683,1.0,1.0207620788856056,4.47711788291258,0.0,1.0,1.1000000163912773,1.0,0.0,0.05533059522702703,4.878397907541795,5.414098695432348,6.257645667478676,0.12972972972972974,0.12972972972972974,1.2815515655445995,0.0,0,0,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,48,10.200000151991844,1.0,1.1189856710638426,4.578230031499735,0.0,1.0,1.5000000223517418,0.9951219512195122,0.004878048780487805,0.0511158940882353,5.196204178550271,6.259162357024389,2.9372454851220127,0.2097560975609756,0.2097560975609756,1.2815515655445986,0.0,10,0,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,49,10.950000163167715,1.0,1.1657346048784187,4.619264260784954,0.0,1.0,1.5000000223517418,0.9954545454545455,0.004545454545454545,0.0562663130456621,6.052265469149853,6.2919916449338675,3.4875390614457293,0.1590909090909091,0.1590909090909091,1.2815515655445981,0.0,9,0,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,50,10.700000159442425,1.0,1.7774295966859968,5.111460819885061,0.0,1.0,1.3500000201165676,0.9953488372093023,0.004651162790697674,0.05322822762616822,5.384913398594627,5.391904434471535,4.482576384321048,0.13488372093023257,0.13488372093023257,1.281551565544598,0.0,0,0,0
B1_fixed_medium_assertive,B1,fixed_medium,assertive,46,9.80000014603138,1.0,0.9869335922513305,4.508077295137095,0.0,1.0,1.1500000171363354,0.9949238578680203,0.005076142131979695,0.05692319563265307,4.326394454216638,5.01114386292169,3.8233449776951844,0.14213197969543148,0.14213197969543148,1.6399999999999952,0.0,0,0,0
B1_fixed_medium_assertive,B1,fixed_medium,assertive,47,9.200000137090683,1.0,1.0298477829869916,4.483609537195651,0.0,1.0,1.1000000163912773,1.0,0.0,0.05858036098378378,4.875594381215977,5.404283075867482,6.333039109977449,0.12972972972972974,0.12972972972972974,1.639999999999996,0.0,0,0,0
B1_fixed_medium_assertive,B1,fixed_medium,assertive,48,12.450000185519457,1.0,1.1238280588666003,4.607344794791494,0.0,1.0,1.5000000223517418,0.992,0.008,0.05833878796774194,5.221712170740927,5.388513612868494,2.5701225336714417,0.132,0.132,1.6399999999999937,0.0,0,0,0
B1_fixed_medium_assertive,B1,fixed_medium,assertive,49,10.450000155717134,1.0,1.3447483746359856,4.8048841155468995,0.0,1.0,1.4000000208616257,0.9952380952380953,0.004761904761904762,0.0546792506937799,6.1737307177044,5.768184667276451,3.6174838987459896,0.13333333333333333,0.13333333333333333,1.639999999999995,0.0,0,0,0
B1_fixed_medium_assertive,B1,fixed_medium,assertive,50,12.200000181794167,1.0,1.7972486940575538,5.127063022845788,0.0,1.0,1.3500000201165676,0.9959183673469387,0.004081632653061225,0.05316325151229508,5.372209593673849,4.544282933539621,3.94989921084543,0.11836734693877551,0.11836734693877551,1.6399999999999937,0.0,0,0,0
B1_fixed_medium_reactive,B1,fixed_medium,reactive,46,11.85000017657876,1.0,0.8439250634200585,4.3338736737638355,0.0,1.0,1.4500000216066837,0.9957983193277311,0.004201680672268907,0.05382595116455696,4.323874185920227,5.5578030888683765,3.1698351549529806,0.1638655462184874,0.1638655462184874,1.6399999999999946,0.0,15,0,0
B1_fixed_medium_reactive,B1,fixed_medium,reactive,47,9.300000138580799,1.0,1.0386985900543304,4.4925330162012465,0.0,1.0,1.1000000163912773,1.0,0.0,0.07532721835828879,4.858450476672384,5.406613043589991,6.098307835852455,0.12834224598930483,0.12834224598930483,1.6399999999999957,0.0,0,0,0
